age_group,age_of_respondent,age_squared,age_x_education,cellphone_access,country_Rwanda,country_Tanzania,country_Uganda,edu_x_employment,edu_x_mobile,education_level_te,education_rank,employment_rank,formal_x_urban,gender_of_respondent,head_x_formal,household_size,household_size_log,inclusion_score,is_dependent,is_formal_employed,is_household_head,is_married,job_type_te,location_type,marital_rank,marital_status_te,married_x_head,mobile_x_urban,relationship_rank,relationship_with_head_te
2.0,27,729,54,1,False,False,False,10,2,0.23317194481246947,2,5,1,1,1,2,1.0986122886681098,2.45,0,1,1,1,0.7253489386896336,1,4,0.17386138684213095,1,1,5,0.17619525893659033
3.0,43,1849,43,1,False,False,False,2,1,0.08730220222140785,1,2,0,1,0,2,1.0986122886681098,1.1500000000000001,0,0,1,1,0.0799680513397514,0,4,0.17525196637664844,1,0,5,0.17854291215320198
0.0,16,256,32,0,False,False,False,2,0,0.2312843150607104,2,1,0,0,0,4,1.6094379124341003,0.9500000000000001,1,0,0,0,0.09321731687589563,1,3,0.12125443625116719,0,0,2,0.0937561764667128
2.0,26,676,52,1,False,False,False,4,2,0.22475422735561532,2,2,0,1,0,4,1.6094379124341003,1.55,0,0,0,0,0.08231477698582208,1,3,0.12312717000232308,0,1,2,0.10766452075411237
1.0,19,361,19,0,False,False,False,2,0,0.08711619640620037,1,2,0,0,0,4,1.6094379124341003,0.95,0,0,0,1,0.07568639743392369,0,4,0.17535002874245104,0,0,4,0.10718281593815017
3.0,49,2401,196,1,False,False,False,20,4,0.5111282067367404,4,5,0,1,1,6,1.9459101490553132,2.8000000000000003,0,1,1,1,0.7448965080150253,0,4,0.17535002874245104,1,0,5,0.1792329044686489
3.0,44,1936,0,1,False,False,False,0,0,0.04010408408888351,0,3,0,0,0,9,2.302585092994046,1.3499999999999999,0,0,1,1,0.12875959149970187,1,4,0.17331037522029275,1,1,5,0.17669830543207674
2.0,30,900,30,1,False,False,False,3,1,0.08423866352234775,1,3,0,0,0,1,0.6931471805599453,1.5999999999999999,0,0,1,0,0.12875959149970187,1,3,0.12125443625116719,0,1,5,0.17669830543207674
0.0,16,256,16,0,False,False,False,1,0,0.08711619640620037,1,1,0,0,0,3,1.3862943611198906,0.55,1,0,0,0,0.09985870096715979,0,3,0.1219834162857301,0,0,3,0.08787073922325075
3.0,50,2500,150,1,False,False,False,6,3,0.5687359626456416,3,2,0,0,0,7,2.0794415416798357,1.8,0,0,0,1,0.11660205721804419,1,4,0.17386138684213095,0,1,4,0.10740123258362805
2.0,30,900,30,1,False,False,False,4,1,0.08464788066761095,1,4,0,1,1,2,1.0986122886681098,1.75,0,1,1,1,0.5159168751670027,0,4,0.16979643413223136,1,0,5,0.17473756152716832
3.0,49,2401,49,1,False,False,False,3,1,0.08447384449235934,1,3,0,0,0,5,1.791759469228055,1.5999999999999999,0,0,0,1,0.13274025031978195,1,4,0.17386138684213095,0,1,4,0.10740123258362805
5.0,72,5184,0,0,False,False,False,0,0,0.03841058318897575,0,1,0,0,0,8,2.1972245773362196,0.3,1,0,0,0,0.09985870096715979,0,2,0.09268569697360543,0,0,3,0.05901212027369647
0.0,18,324,36,1,False,False,False,2,2,0.2359306861300142,2,1,0,1,0,4,1.6094379124341003,1.0,1,0,0,0,0.09228536053028268,0,3,0.11942559141635967,0,0,3,0.0857230607114941
1.0,21,441,21,1,False,False,False,1,1,0.08447384449235934,1,1,0,0,0,2,1.0986122886681098,0.75,1,0,1,1,0.09580031685174088,0,4,0.17386138684213095,1,0,5,0.17619525893659033
4.0,52,2704,0,1,False,False,False,0,0,0.03950578370223743,0,2,0,1,0,9,2.302585092994046,0.9,0,0,1,1,0.11307491948010931,0,4,0.16979643413223136,1,0,5,0.17473756152716832
4.0,55,3025,110,1,False,False,False,4,2,0.2312843150607104,2,2,0,1,0,4,1.6094379124341003,1.4000000000000001,0,0,0,1,0.11598264135968962,0,4,0.17331037522029275,0,0,3,0.09000870749722986
2.0,35,1225,35,1,False,False,False,1,1,0.08730220222140785,1,1,0,0,0,5,1.791759469228055,0.75,1,0,1,1,0.09228536053028268,0,4,0.17525196637664844,1,0,5,0.17854291215320198
3.0,38,1444,38,1,False,False,False,2,1,0.08423866352234775,1,2,0,0,0,6,1.9459101490553132,1.1500000000000001,0,0,0,1,0.11598264135968962,0,4,0.17331037522029275,0,0,4,0.10459369694815576
1.0,19,361,38,1,False,False,False,2,2,0.23317194481246947,2,1,0,0,0,6,1.9459101490553132,1.0,1,0,0,0,0.09580031685174088,0,3,0.11954162348512508,0,0,3,0.08903389840944755
4.0,53,2809,212,1,False,False,False,12,4,0.5152426416100394,4,3,0,0,0,7,2.0794415416798357,2.35,0,0,1,1,0.12875959149970187,1,4,0.17331037522029275,1,1,5,0.17669830543207674
0.0,17,289,34,0,False,False,False,2,0,0.23317194481246947,2,1,0,1,0,2,1.0986122886681098,0.9500000000000001,1,0,0,0,0.09580031685174088,1,3,0.11954162348512508,0,0,3,0.08903389840944755
2.0,29,841,29,1,False,False,False,2,1,0.08711619640620037,1,2,0,0,0,5,1.791759469228055,1.3,0,0,1,1,0.07568639743392369,1,4,0.17535002874245104,1,1,5,0.1792329044686489
1.0,24,576,96,1,False,False,False,16,4,0.502476842401025,4,4,0,0,1,1,0.6931471805599453,2.5000000000000004,0,1,1,0,0.5159168751670027,0,3,0.12312717000232308,0,0,5,0.17473756152716832
4.0,63,3969,189,1,False,False,False,6,3,0.5587254390043633,3,2,0,1,0,7,2.0794415416798357,1.8,0,0,0,1,0.11307491948010931,1,4,0.16979643413223136,0,1,4,0.10474301432449785
3.0,47,2209,94,1,False,False,False,2,2,0.2359306861300142,2,1,0,0,0,2,1.0986122886681098,1.15,1,0,1,1,0.09228536053028268,1,4,0.17525196637664844,1,1,5,0.17854291215320198
3.0,42,1764,168,1,False,False,False,20,4,0.49303008096450296,4,5,1,0,1,4,1.6094379124341003,2.95,0,1,1,1,0.7253489386896336,1,4,0.17386138684213095,1,1,5,0.17619525893659033
0.0,17,289,34,0,False,False,False,4,0,0.23317194481246947,2,2,0,1,0,3,1.3862943611198906,1.2000000000000002,0,0,0,0,0.07891206612501864,0,3,0.11954162348512508,0,0,3,0.08903389840944755
2.0,28,784,28,1,False,False,False,2,1,0.08447384449235934,1,2,0,1,0,4,1.6094379124341003,1.1500000000000001,0,0,1,1,0.07891206612501864,0,4,0.17386138684213095,1,0,5,0.17619525893659033
