idx,primary_barrier,primary_action,sdg_alignment
459,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
461,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
462,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
467,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
469,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
476,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
478,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
481,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
486,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
487,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
492,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
493,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
497,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
499,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
501,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
503,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
507,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
509,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
514,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
518,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
521,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
525,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
530,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
532,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
533,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
539,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
546,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
548,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
552,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
553,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
555,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
557,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
560,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
561,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
568,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
573,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
576,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
578,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
579,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
584,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
586,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
587,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
590,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
592,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
593,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
594,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
603,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
608,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
613,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
614,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
623,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
628,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
629,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
632,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
634,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
643,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
647,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
649,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
656,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
664,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
668,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
675,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
678,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
686,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
696,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
707,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
708,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
710,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
716,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
719,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
720,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
722,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
725,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
730,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
735,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
739,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
741,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
743,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
744,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
745,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
748,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
755,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
761,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
763,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
768,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
770,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
773,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
776,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
777,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
785,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
789,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
791,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
792,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
795,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
797,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
803,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
808,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
818,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
820,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
824,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
825,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
826,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
830,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
831,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
834,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
837,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
843,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
844,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
850,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
854,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
856,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
857,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
861,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
863,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
868,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
873,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
876,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
878,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
881,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
885,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
887,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
889,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
890,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
906,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
908,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
914,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
922,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
925,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
927,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
930,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
935,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
936,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
938,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
939,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
941,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
946,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
948,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
949,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
951,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
954,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
962,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
963,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
966,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
968,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
970,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
974,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
986,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
990,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
994,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
998,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1001,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1002,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
1024,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1025,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1034,age_x_education,🌍 General financial inclusion program,SDG 1: No Poverty
1037,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1040,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1043,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1053,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1060,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1061,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
1080,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1082,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1085,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1095,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
1097,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
1098,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1107,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1112,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1114,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
1115,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1116,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1117,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1122,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
1126,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1127,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1130,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1132,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
1137,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1139,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1149,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
1150,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1151,job_type_te,🌍 General financial inclusion program,SDG 1: No Poverty
1153,inclusion_score,📊 Multi-factor intervention needed,"SDG 1, 4, 8, 10"
1155,age_of_respondent,🌍 General financial inclusion program,SDG 1: No Poverty
1156,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1159,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1162,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1165,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1177,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1178,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1183,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1187,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1188,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
1199,cellphone_access,📱 Mobile money bridge,"SDG 9: Industry, Innovation & Infrastructure"
1205,edu_x_mobile,🌍 General financial inclusion program,SDG 1: No Poverty
